id,latency,lev_edit_mean,lev_edit_median,TP,FP,TN,FN,precision,recall,f1,accuracy,dataset
0,1827.4023922000001,0.23523226773226774,0.2222222222222222,3,128,47,47,0.022900763358778626,0.06,0.03314917127071824,0.2222222222222222,aspell.csv
1,1369.3893569200002,0.32445870795870796,0.2792207792207792,2,133,48,48,0.014814814814814815,0.04,0.02162162162162162,0.21645021645021645,birkbeck.csv
2,1625.5286782,0.33853601953601953,0.2857142857142857,3,126,47,47,0.023255813953488372,0.06,0.0335195530726257,0.2242152466367713,holbrook.csv
3,1528.49697004,0.19027944277944275,0.14285714285714285,8,140,42,42,0.05405405405405406,0.16,0.0808080808080808,0.21551724137931033,wikipedia.csv
4,1416.6410467,0.044443245158556584,0.04255533199195171,454,78,78,78,0.8533834586466166,0.8533834586466166,0.8533834586466166,0.7732558139534884,sentences.csv
