id,latency,lev_edit_mean,lev_edit_median,TP,FP,TN,FN,precision,recall,f1,accuracy,dataset
0,85.86706254990584,0.22536614358648255,0.2,232,299,299,299,0.4369114877589454,0.4369114877589454,0.4369114877589454,0.47032772364924713,aspell.csv
1,87.81184958840001,0.3383492574092575,0.2857142857142857,1510,3490,3490,3490,0.302,0.302,0.302,0.41736227045075125,birkbeck.csv
2,24.006849206098252,0.3245772327929301,0.2727272727272727,430,1341,1341,1341,0.24280067758328627,0.24280067758328627,0.24280067758328627,0.39770940938693017,holbrook.csv
3,61.318875071283095,0.1803739494269026,0.125,1525,930,930,930,0.6211812627291242,0.6211812627291242,0.6211812627291242,0.5689455388180765,wikipedia.csv
4,58.73696742127072,0.0423658077144906,0.04067843353557639,7415,914,889,889,0.8902629367270981,0.8929431599229287,0.8916010340888595,0.8216087859899079,sentences.csv
