id,latency,lev_edit_mean,lev_edit_median,TP,FP,TN,FN,precision,recall,f1,accuracy,dataset
0,0.00036036911487758946,0.22536614358648255,0.2,276,255,255,255,0.519774011299435,0.519774011299435,0.519774011299435,0.5100864553314121,aspell.csv
1,4.71276e-05,0.33857576395826394,0.3,1646,3354,3354,3354,0.3292,0.3292,0.3292,0.4270584215920738,birkbeck.csv
2,3.52128740824393e-05,0.3245772327929301,0.2727272727272727,463,1308,1308,1308,0.26143421795595706,0.26143421795595706,0.26143421795595706,0.4036927285160702,holbrook.csv
3,3.45837067209776e-05,0.1803739494269026,0.125,1811,644,644,644,0.7376782077393076,0.7376782077393076,0.7376782077393076,0.6558909965268501,wikipedia.csv
4,0.00021567127071823205,0.03529541464448481,0.03333333333333333,6865,1409,1439,1439,0.8297075175247765,0.8267100192678227,0.8282060562190856,0.7446197991391679,sentences.csv
